address_hex,address_dec,result_type,value_or_code
0x0000,0,EXCEPTION,0
0x0001,1,EXCEPTION,0
0x0002,2,EXCEPTION,0
0x0003,3,EXCEPTION,0
0x0004,4,EXCEPTION,0
0x0005,5,EXCEPTION,0
0x0006,6,EXCEPTION,0
0x0007,7,EXCEPTION,0
0x0008,8,EXCEPTION,0
0x0009,9,EXCEPTION,0
0x000A,10,EXCEPTION,0
0x000B,11,EXCEPTION,0
0x000C,12,EXCEPTION,0
0x000D,13,EXCEPTION,0
0x000E,14,EXCEPTION,0
0x000F,15,EXCEPTION,0
0x0010,16,EXCEPTION,0
0x0011,17,EXCEPTION,0
0x0012,18,EXCEPTION,0
0x0013,19,EXCEPTION,0
0x0014,20,EXCEPTION,0
0x0015,21,EXCEPTION,0
0x0016,22,EXCEPTION,0
0x0017,23,EXCEPTION,0
0x0018,24,EXCEPTION,0
0x0019,25,EXCEPTION,0
0x001A,26,EXCEPTION,0
0x001B,27,EXCEPTION,0
0x001C,28,EXCEPTION,0
0x001D,29,EXCEPTION,0
0x001E,30,EXCEPTION,0
0x001F,31,EXCEPTION,0
0x0020,32,EXCEPTION,0
0x0021,33,EXCEPTION,0
0x0022,34,EXCEPTION,0
0x0023,35,EXCEPTION,0
0x0024,36,EXCEPTION,0
0x0025,37,EXCEPTION,0
0x0026,38,EXCEPTION,0
0x0027,39,EXCEPTION,0
0x0028,40,EXCEPTION,0
0x0029,41,EXCEPTION,0
0x002A,42,EXCEPTION,0
0x002B,43,EXCEPTION,0
0x002C,44,EXCEPTION,0
0x002D,45,EXCEPTION,0
0x002E,46,EXCEPTION,0
0x002F,47,EXCEPTION,0
0x0030,48,EXCEPTION,0
0x0031,49,EXCEPTION,0
0x0032,50,EXCEPTION,0
0x0033,51,EXCEPTION,0
0x0034,52,EXCEPTION,0
0x0035,53,EXCEPTION,0
0x0036,54,EXCEPTION,0
0x0037,55,EXCEPTION,0
0x0038,56,EXCEPTION,0
0x0039,57,EXCEPTION,0
0x003A,58,EXCEPTION,0
0x003B,59,EXCEPTION,0
0x003C,60,EXCEPTION,0
0x003D,61,EXCEPTION,0
0x003E,62,EXCEPTION,0
0x003F,63,EXCEPTION,0
0x0040,64,EXCEPTION,0
0x0041,65,EXCEPTION,0
0x0042,66,EXCEPTION,0
0x0043,67,EXCEPTION,0
0x0044,68,EXCEPTION,0
0x0045,69,EXCEPTION,0
0x0046,70,EXCEPTION,0
0x0047,71,EXCEPTION,0
0x0048,72,EXCEPTION,0
0x0049,73,EXCEPTION,0
0x004A,74,EXCEPTION,0
0x004B,75,EXCEPTION,0
0x004C,76,EXCEPTION,0
0x004D,77,EXCEPTION,0
0x004E,78,EXCEPTION,0
0x004F,79,EXCEPTION,0
0x0050,80,EXCEPTION,0
0x0051,81,EXCEPTION,0
0x0052,82,EXCEPTION,0
0x0053,83,EXCEPTION,0
0x0054,84,EXCEPTION,0
0x0055,85,EXCEPTION,0
0x0056,86,EXCEPTION,0
0x0057,87,EXCEPTION,0
0x0058,88,EXCEPTION,0
0x0059,89,EXCEPTION,0
0x005A,90,EXCEPTION,0
0x005B,91,EXCEPTION,0
0x005C,92,EXCEPTION,0
0x005D,93,EXCEPTION,0
0x005E,94,EXCEPTION,0
0x005F,95,EXCEPTION,0
0x0060,96,EXCEPTION,0
0x0061,97,EXCEPTION,0
0x0062,98,EXCEPTION,0
0x0063,99,EXCEPTION,0
0x0064,100,EXCEPTION,0
0x0065,101,EXCEPTION,0
0x0066,102,EXCEPTION,0
0x0067,103,EXCEPTION,0
0x0068,104,EXCEPTION,0
0x0069,105,EXCEPTION,0
0x006A,106,EXCEPTION,0
0x006B,107,EXCEPTION,0
0x006C,108,EXCEPTION,0
0x006D,109,EXCEPTION,0
0x006E,110,EXCEPTION,0
0x006F,111,EXCEPTION,0
0x0070,112,EXCEPTION,0
0x0071,113,EXCEPTION,0
0x0072,114,EXCEPTION,0
0x0073,115,EXCEPTION,0
0x0074,116,EXCEPTION,0
0x0075,117,EXCEPTION,0
0x0076,118,EXCEPTION,0
0x0077,119,EXCEPTION,0
0x0078,120,EXCEPTION,0
0x0079,121,EXCEPTION,0
0x007A,122,EXCEPTION,0
0x007B,123,EXCEPTION,0
0x007C,124,EXCEPTION,0
0x007D,125,EXCEPTION,0
0x007E,126,EXCEPTION,0
0x007F,127,EXCEPTION,0
0x0080,128,EXCEPTION,0
0x0081,129,EXCEPTION,0
0x0082,130,EXCEPTION,0
0x0083,131,EXCEPTION,0
0x0084,132,EXCEPTION,0
0x0085,133,EXCEPTION,0
0x0086,134,EXCEPTION,0
0x0087,135,EXCEPTION,0
0x0088,136,EXCEPTION,0
0x0089,137,EXCEPTION,0
0x008A,138,EXCEPTION,0
0x008B,139,EXCEPTION,0
0x008C,140,EXCEPTION,0
0x008D,141,EXCEPTION,0
0x008E,142,EXCEPTION,0
0x008F,143,EXCEPTION,0
0x0090,144,EXCEPTION,0
0x0091,145,EXCEPTION,0
0x0092,146,EXCEPTION,0
0x0093,147,EXCEPTION,0
0x0094,148,EXCEPTION,0
0x0095,149,EXCEPTION,0
0x0096,150,EXCEPTION,0
0x0097,151,EXCEPTION,0
0x0098,152,EXCEPTION,0
0x0099,153,EXCEPTION,0
0x009A,154,EXCEPTION,0
0x009B,155,EXCEPTION,0
0x009C,156,EXCEPTION,0
0x009D,157,EXCEPTION,0
0x009E,158,EXCEPTION,0
0x009F,159,EXCEPTION,0
0x00A0,160,EXCEPTION,0
0x00A1,161,EXCEPTION,0
0x00A2,162,EXCEPTION,0
0x00A3,163,EXCEPTION,0
0x00A4,164,EXCEPTION,0
0x00A5,165,EXCEPTION,0
0x00A6,166,EXCEPTION,0
0x00A7,167,EXCEPTION,0
0x00A8,168,EXCEPTION,0
0x00A9,169,EXCEPTION,0
0x00AA,170,EXCEPTION,0
0x00AB,171,EXCEPTION,0
0x00AC,172,EXCEPTION,0
0x00AD,173,EXCEPTION,0
0x00AE,174,EXCEPTION,0
0x00AF,175,EXCEPTION,0
0x00B0,176,EXCEPTION,0
0x00B1,177,EXCEPTION,0
