timestamp,0x050E,0x357A,0x357F,0x35A1,0x35A3,0x402F,0x40A8,0x40AA,0x4204,0x4213,0x4E03,0x4E11,0x4E55,0x51A6,0x8360,0x8362,0x837C,0x837E,0xA050
2026-04-14T13:24:52,7064,5296,11284,-6944,-6944,1887,2272,2249,7064,7064,1869,1882,7613,7060,7200,7200,7200,7200,7064
2026-04-14T13:24:57,7081,5330,11307,-6941,-6941,1871,2290,2260,7089,7089,1899,1899,7613,7109,7200,7200,7200,7200,7095
2026-04-14T13:25:03,7130,5369,11333,-6939,-6939,1935,2321,2281,7132,7132,1902,1898,7613,7109,7200,7200,7200,7200,7133
2026-04-14T13:25:07,7126,5398,11358,-6937,-6937,1837,2314,2293,7124,7124,1912,1778,7613,7109,7200,7200,7200,7200,7121
2026-04-14T13:25:12,7114,5429,11382,-6934,-6934,1975,2323,2310,7114,7114,1932,1916,7613,7109,7200,7200,7200,7200,7114
2026-04-14T13:25:17,7113,5466,11403,-6932,-6932,1965,2313,2284,7113,7113,1898,1898,7613,7109,7200,7200,7200,7200,7113
2026-04-14T13:25:22,7121,5498,11421,-6929,-6929,1837,2098,2256,7120,7120,1861,1861,7621,7109,7200,7200,7200,7200,7120
2026-04-14T13:25:27,7121,5532,11445,-6927,-6927,1997,2286,2257,7121,7116,1885,1906,7621,7111,7200,7200,7200,7200,7126
2026-04-14T13:25:32,7127,5567,11464,-6924,-6924,1950,2290,2260,7127,7127,1901,1901,7621,7111,7200,7200,7200,7200,7129
2026-04-14T13:25:38,7125,5603,11490,-6922,-6921,1945,2309,2285,7125,7125,1884,1876,7621,7111,7200,7200,7200,7200,7123
2026-04-14T13:25:42,7116,5637,11517,-6919,-6919,1934,2329,2312,7116,7116,1933,1933,7621,7111,7200,7200,7200,7200,7117
2026-04-14T13:25:47,7125,5669,11542,-6917,-6917,1889,2303,2273,7125,7121,1911,1911,7621,7111,7200,7200,7200,7200,7121
2026-04-14T13:25:52,7126,5705,11570,-6914,-6914,1890,2316,2286,7125,7125,1896,1923,7621,7111,7200,7200,7200,7200,7124
2026-04-14T13:25:57,7121,5738,11596,-6912,-6912,2039,2329,2301,7121,7121,1932,1932,7621,7123,7200,7200,7200,7200,7120
2026-04-14T13:26:02,7124,5774,11623,-6909,-6909,1957,2304,2297,7124,7124,1904,1904,7621,7123,7200,7200,7200,7200,7122
2026-04-14T13:26:08,7128,5806,11645,-6907,-6906,1931,2348,2316,7128,7128,1930,1930,7621,7123,7200,7200,7200,7200,7129
2026-04-14T13:26:13,7125,5842,11671,-6904,-6904,1771,2330,2081,7125,7126,1801,1792,7621,7123,7200,7200,7200,7200,7126
2026-04-14T13:26:17,7118,5873,11693,-6902,-6902,1912,2312,2291,7117,7117,1925,1922,7621,7123,7200,7200,7200,7200,7117
2026-04-14T13:26:22,7110,5909,11716,-6899,-6899,2043,2285,2261,7110,7110,1877,1877,7629,7123,7200,7200,7200,7200,7110
2026-04-14T13:26:27,7095,5942,11743,-6897,-6897,1822,2193,2130,7093,7093,1778,1778,7629,7121,7200,7200,7200,7200,7094
2026-04-14T13:26:33,7073,5980,11764,-6894,-6894,1949,2317,2287,7073,7073,1907,1921,7629,7121,7200,7200,7200,7200,7073
2026-04-14T13:26:37,7064,6010,11786,-6892,-6892,1952,2326,2312,7062,7062,1935,1955,7629,7121,7200,7200,7200,7200,7061
2026-04-14T13:26:42,7055,6047,11807,-6889,-6889,1883,2289,2259,7055,7054,1896,1917,7629,7121,7200,7200,7200,7200,7054
2026-04-14T13:26:46,7051,6076,11830,-6887,-6887,1845,2293,2304,7051,7052,1917,1651,7629,7121,7200,7200,7200,7200,7052
2026-04-14T13:26:52,7046,6115,11858,-6884,-6884,1952,2344,2309,7046,7048,1929,1898,7629,7121,7200,7200,7200,7200,7049
2026-04-14T13:26:57,7055,6148,11884,-6882,-6882,1893,2293,2270,7055,7055,1886,1903,7629,7067,7200,7200,7200,7200,7057
